from,to,value
2305,5307,-0.041666666666666664
2307,4504,-0.044642857142857144
2309,5302,-0.018115942028985508
2402,9016,-0.016666666666666666
2403,9016,-0.021052631578947368
2501,2612,-0.014492753623188406
2502,5005,-0.041666666666666664
7203,2710,-0.013986013986013986
7203,2711,-0.01948051948051948
7203,2713,-0.01928374655647383
7203,2714,-0.025454545454545455
7203,2802,-0.028409090909090908
7203,2814,-0.03636363636363636
7203,2905,-0.02821316614420063
7203,3702,-0.03636363636363636
7203,2503,-0.024793388429752067
7203,7605,-0.030303030303030304
2504,2525,-0.046296296296296294
2504,2516,-0.023809523809523808
2525,2913,-0.05555555555555555
2525,2614,-0.032679738562091505
2505,3702,-0.01818181818181818
2506,8307,-0.02181818181818182
2507,3703,-0.03571428571428571
2508,6803,-0.02586206896551724
2509,3821,-0.02666666666666667
2510,2524,-0.03333333333333333
2511,4502,-0.031578947368421054
2512,8307,-0.030303030303030304
2513,2812,-0.027777777777777776
2514,6803,-0.039473684210526314
2515,4501,-0.030864197530864196
2517,5507,-0.016666666666666666
2518,5801,-0.024305555555555556
2519,2605,-0.027210884353741496
2520,4502,-0.022222222222222223
2521,3702,-0.022222222222222223
2522,4806,-0.019027484143763214
2523,5511,-0.013204225352112676
2612,2524,-0.08333333333333333
2612,2601,-0.03333333333333333
2612,2602,-0.047619047619047616
2612,2603,-0.02976190476190476
2612,2609,-0.037037037037037035
2612,2844,-0.05128205128205128
2612,4104,-0.016339869281045753
2612,7901,-0.034722222222222224
2701,2524,-0.046875
2702,2524,-0.045454545454545456
2524,2818,-0.029411764705882353
2524,2819,-0.05555555555555555
2524,7201,-0.045454545454545456
2524,7206,-0.03125
2524,7207,-0.03
2524,7209,-0.026785714285714284
2524,8112,-0.0625
2524,8602,-0.05
2524,8904,-0.02586206896551724
2524,8906,-0.03260869565217391
2524,2709,-0.02027027027027027
2819,2812,-0.05555555555555555
2819,2610,-0.02564102564102564
2819,2833,-0.022988505747126436
7201,3605,-0.015584415584415584
7201,7202,-0.02097902097902098
8906,8901,-0.016722408026755852
2526,5007,-0.031746031746031744
2528,2810,-0.075
2528,2616,-0.02403846153846154
2528,4409,-0.017045454545454544
2528,7108,-0.014705882352941176
5701,2619,-0.02142857142857143
5701,5307,-0.041666666666666664
5701,2529,-0.024305555555555556
5701,5702,-0.041666666666666664
2530,5301,-0.0163265306122449
2604,2605,-0.03896103896103896
2604,7501,-0.06363636363636363
2605,7402,-0.03571428571428571
2606,4007,-0.023809523809523808
2607,2810,-0.025
2607,2608,-0.021616541353383457
2609,2611,-0.041666666666666664
2609,2615,-0.026455026455026454
2609,2617,-0.023809523809523808
4103,2610,-0.013986013986013986
2613,2845,-0.03418803418803419
2618,6803,-0.03289473684210526
2620,4502,-0.02857142857142857
2621,2913,-0.034722222222222224
2703,3807,-0.03333333333333333
2703,4301,-0.03333333333333333
2703,3101,-0.02095238095238095
2704,8111,-0.03125
2705,9016,-0.04
2706,4806,-0.03349282296650718
2707,2907,-0.027777777777777776
2708,2848,-0.037037037037037035
2712,2913,-0.03333333333333333
6803,4502,-0.05
6803,5609,-0.023148148148148147
6803,6802,-0.02734375
6803,7227,-0.041666666666666664
6803,2715,-0.026785714285714284
